"","mu1","mu2","mu3","mu4","lamdiag1","lamdiag2","lamdiag3","lamdiag4","lambda12","lambda13","lambda14","lambda23","lambda24","lambda34"
"1",-9.38851639967545,-0.0124667742925697,-4.83808151249574,-0.00149011336465587,0,0,0,0,0,0,0,0,-0.0414095775825734,0
"2",20.4407876447495,0.00797733772658787,-6.51899668455445,0.0274601811714228,0,0,0,0,0,0,0,0,0.00170372979061459,0
"3",41.2556192169433,-0.0171364266807843,-2.17338227996732,-0.0434254813111941,0,0,0,0,0,0,0,0,0.0500938331580746,0
"4",17.5196441216375,-0.0146618527732475,-6.74919763984995,-0.0185520338262838,0,0,0,0,0,0,0,0,-0.0454602381847045,0
"5",-3.6699121790517,0.00395897148685412,44.0670812747403,0.00846124820748281,0,0,0,0,0,0,0,0,0.00463459577580177,0
"6",-4.59076784273267,0.0140173705497926,27.8016116004406,-0.00904355491892426,0,0,0,0,0,0,0,0,-0.0376627562940761,0
"7",8.18607010684075,-0.011289225356849,15.9322023805642,0.0182762197171995,0,0,0,0,0,0,0,0,0.0557235383025347,0
"8",4.80085390789517,0.0242385270811731,26.456338914309,-0.0188450063819322,0,0,0,0,0,0,0,0,0.0289792896006811,0
"9",-16.9891868431356,-0.0112526376683859,-13.505817174865,-0.0113714555177821,0,0,0,0,0,0,0,0,-0.0864175703875502,0
"10",4.65872418992187,-0.0140068649302978,6.66281411801838,0.0270197233706249,0,0,0,0,0,0,0,0,0.053216925644849,0
"11",8.49607114206646,-0.0142081756770565,10.2614024098846,0.0172993924723222,0,0,0,0,0,0,0,0,-0.0152741684799821,0
"12",9.01170720151002,-0.0103604689109037,-18.1256170202166,-0.00551130921801821,0,0,0,0,0,0,0,0,-0.164275017682061,0
"13",-15.447390677294,0.0190732052897865,30.6283241736966,-0.0432641650281939,0,0,0,0,0,0,0,0,0.0683096458640735,0
"14",-37.2164266537137,0.0335581606572896,76.2576602916808,-0.0555187795358183,0,0,0,0,0,0,0,0,0.0459678906945837,0
"15",-15.3541177725159,0.000873400756710575,-32.9063242211391,-0.0236358805272043,0,0,0,0,0,0,0,0,-0.064985983161073,0
"16",-41.1452996718179,-0.00830860387254381,-34.0762310504264,-0.0283605019427785,0,0,0,0,0,0,0,0,0.0356720280797946,0
"17",-4.35764171716325,-0.0109845115474304,-8.30196088885527,-0.00534154552497156,0,0,0,0,0,0,0,0,-0.0413009715584375,0
"18",-5.24070470780839,0.0330379526790222,1.60099315144818,0.010378828656378,0,0,0,0,0,0,0,0,-0.177100940547048,0
"19",11.7386050534224,0.0162093107888373,-17.3771100711695,0.00494752612421697,0,0,0,0,0,0,0,0,-0.200241081643301,0
"20",-13.9352810621398,-0.00753663331504048,13.3783778852876,-0.0198929763758304,0,0,0,0,0,0,0,0,0.0181469770442025,0
"21",9.08118184935674,0.00777320481662688,-1.41269220930744,0.0100936580673885,0,0,0,0,0,0,0,0,-0.0215244552035917,0
"22",26.508312590871,-0.0144980759435555,-4.12522891169125,-0.0234103831455357,0,0,0,0,0,0,0,0,-0.0119935069446813,0
"23",-1.50627338975639,-0.0119847024410182,6.34712785030722,0.00959396358100826,0,0,0,0,0,0,0,0,0.0652399566417199,0
"24",-5.32803164521726,0.00443847465955791,25.8126238239364,-0.035466538158424,0,0,0,0,0,0,0,0,-0.00364223817683466,0
"25",-24.1134977074688,0.00130902429032879,-8.77486957467782,0.00511151797458913,0,0,0,0,0,0,0,0,-0.0343270099734976,0
"26",-2.27933149557683,0.00832129750822515,-4.70532400354948,-0.00136234891848045,0,0,0,0,0,0,0,0,-0.0270748155633105,0
"27",-6.07392523071709,0.0108858195914348,18.0917561080127,0.0396057627636176,0,0,0,0,0,0,0,0,0.115541368165926,0
"28",0.616716228271224,-0.00269201053756325,-5.64072739945377,0.01816446303326,0,0,0,0,0,0,0,0,0.104394226542999,0
"29",-26.9936420355252,0.0041940637727669,-2.89093233142342,-0.059401851840121,0,0,0,0,0,0,0,0,0.100922869124962,0
"30",9.2018714514553,-0.00757754257681908,-0.864923118639985,0.0248432750676426,0,0,0,0,0,0,0,0,0.0942219678875376,0
"31",16.0448440940076,0.0168008494886221,-5.84926640684129,0.0225369991981584,0,0,0,0,0,0,0,0,-0.11214057118173,0
"32",25.1982023172408,0.0127373630397417,0.783813280019859,0.0625706509642811,0,0,0,0,0,0,0,0,0.0265023889350128,0
"33",-3.21386160569485,0.00328105665385514,-6.37413201655024,-0.0117314925294277,0,0,0,0,0,0,0,0,0.0409390179345092,0
"34",24.9788485436311,0.0187971279435203,-17.4030609777581,0.0402116483223189,0,0,0,0,0,0,0,0,-0.0779022135298865,0
"35",-2.20154857884886,-0.00245843456390315,1.65767766649076,0.0258601493161673,0,0,0,0,0,0,0,0,0.0500925433516568,0
"36",7.39288337312569,0.00108337225943223,-3.54279286783035,0.00497633013132707,0,0,0,0,0,0,0,0,-0.0190893653779412,0
